Roll No,Name,Math,Science,English,History,Attendance,Participation,Projects,Discipline,Creativity,total,PERCENTAGE,PASS OR FAIL
28,Student_28,100,92,55,96,45,91,81,60,45,343,85.75,Pass
29,Student_29,81,97,55,59,41,74,79,43,69,292,73,Pass
30,Student_30,51,96,67,91,88,98,69,86,92,305,76.25,Pass
31,Student_31,83,62,84,65,62,51,57,52,81,294,73.5,Pass
32,Student_32,73,43,48,90,48,89,47,86,43,254,63.5,Pass
33,Student_33,51,58,43,88,60,74,47,81,95,240,60,Pass
34,Student_34,64,75,77,50,52,56,63,85,66,266,66.5,Pass
35,Student_35,40,53,74,52,81,51,62,84,62,219,54.75,Fail
36,Student_36,57,58,49,76,54,96,65,74,89,240,60,Pass
37,Student_37,73,56,68,90,68,43,50,64,94,287,71.75,Pass
38,Student_38,75,54,75,80,56,72,42,45,60,284,71,Pass
39,Student_39,70,78,52,44,78,78,93,97,68,244,61,Pass
40,Student_40,86,52,41,60,98,74,41,96,95,239,59.75,Fail
41,Student_41,57,56,65,55,68,62,84,95,75,233,58.25,Fail
42,Student_42,50,52,46,85,56,73,95,61,59,233,58.25,Fail
43,Student_43,64,57,82,66,84,48,53,86,58,269,67.25,Pass
44,Student_44,54,75,68,52,96,69,76,82,41,249,62.25,Pass
45,Student_45,80,82,58,88,87,93,90,51,96,308,77,Pass
46,Student_46,78,50,63,82,68,72,79,66,95,273,68.25,Pass
47,Student_47,50,88,44,50,54,63,92,62,76,232,58,Fail
48,Student_48,54,54,65,44,56,77,83,40,89,217,54.25,Fail
49,Student_49,61,94,84,97,97,48,80,62,76,336,84,Pass
50,Student_50,49,49,82,43,68,42,49,89,58,223,55.75,Fail
51,Student_51,73,59,98,75,100,87,41,80,73,305,76.25,Pass
52,Student_52,63,62,77,82,78,68,98,100,77,284,71,Pass
53,Student_53,74,76,93,90,56,62,50,56,84,333,83.25,Pass
54,Student_54,88,67,85,82,85,67,88,54,43,322,80.5,Pass
55,Student_55,75,91,76,46,65,52,85,98,53,288,72,Pass
56,Student_56,80,61,62,51,66,47,76,47,68,254,63.5,Pass
57,Student_57,99,97,41,96,89,40,49,91,79,333,83.25,Pass
58,Student_58,57,88,96,77,78,72,47,42,57,318,79.5,Pass
59,Student_59,88,56,73,93,74,78,89,85,80,310,77.5,Pass
60,Student_60,99,65,68,77,40,68,83,57,99,309,77.25,Pass
61,Student_61,40,92,82,42,80,97,97,40,48,256,64,Pass
62,Student_62,42,83,65,78,88,83,57,94,74,268,67,Pass
63,Student_63,61,60,46,84,75,97,66,72,83,251,62.75,Pass
64,Student_64,64,66,41,87,49,67,71,90,70,258,64.5,Pass
65,Student_65,74,50,41,86,40,71,86,46,99,251,62.75,Pass
66,Student_66,77,97,98,91,57,76,59,87,76,363,90.75,Pass
67,Student_67,93,76,65,95,56,53,60,84,40,329,82.25,Pass
68,Student_68,100,59,55,62,97,86,62,78,59,276,69,Pass
69,Student_69,78,99,88,87,92,99,68,44,78,352,88,Pass
70,Student_70,64,52,62,90,64,53,90,87,56,268,67,Pass
71,Student_71,40,57,99,61,54,56,86,41,51,257,64.25,Pass
72,Student_72,88,50,98,71,59,63,43,57,88,307,76.75,Pass
73,Student_73,75,91,92,96,76,97,86,72,49,354,88.5,Pass
74,Student_74,40,86,83,96,57,65,41,98,53,305,76.25,Pass
75,Student_75,68,81,84,95,88,99,80,96,76,328,82,Pass
76,Student_76,59,48,48,66,67,69,62,42,51,221,55.25,Fail
77,Student_77,68,55,55,59,83,90,56,46,93,237,59.25,Fail
78,Student_78,73,63,90,65,92,47,77,67,47,291,72.75,Pass
79,Student_79,93,69,46,52,76,65,62,46,76,260,65,Pass
80,Student_80,45,40,83,71,47,91,79,67,41,239,59.75,Fail
81,Student_81,59,53,99,72,78,55,70,94,40,283,70.75,Pass
82,Student_82,57,62,92,87,95,71,96,73,58,298,74.5,Pass
83,Student_83,100,93,69,48,71,86,53,79,60,310,77.5,Pass
84,Student_84,94,52,55,85,73,74,81,68,46,286,71.5,Pass
85,Student_85,80,56,76,62,84,58,56,84,55,274,68.5,Pass
86,Student_86,95,74,47,71,79,71,76,44,79,287,71.75,Pass
87,Student_87,100,58,51,42,45,88,59,62,40,251,62.75,Pass
88,Student_88,90,75,63,96,88,41,74,55,95,324,81,Pass
89,Student_89,96,96,59,43,92,49,44,64,91,294,73.5,Pass
90,Student_90,75,85,98,47,74,85,99,73,91,305,76.25,Pass
91,Student_91,81,42,94,93,54,97,63,64,87,310,77.5,Pass
92,Student_92,49,46,80,87,83,87,48,88,77,262,65.5,Pass
93,Student_93,49,74,89,90,62,54,56,42,78,302,75.5,Pass
94,Student_94,50,40,88,85,79,48,67,54,57,263,65.75,Pass
95,Student_95,95,94,59,77,47,93,50,82,89,325,81.25,Pass
96,Student_96,53,45,67,97,49,45,64,94,48,262,65.5,Pass
97,Student_97,87,45,77,96,41,57,100,85,60,305,76.25,Pass
98,Student_98,61,72,76,60,61,61,81,49,89,269,67.25,Pass
99,Student_99,51,64,91,98,85,56,51,77,64,304,76,Pass
100,Student_100,99,60,76,51,59,80,53,79,62,286,71.5,Pass
,,,,,,,,,,,,,84
,,,,,,,,,,,,,16
